sentence1,label_unused,label
power button is to easy to press down and near other keys which could prompt accidental shut downs.,0,0
my daughter does a lot of drawing on her tablet and she needs a handy one with rich colours shown on the screen.,1,0
great customer service the guy helped me to decide which other chuwi product can i get for me,0,0
"it feels solid and the screen, keyboard, and overall aesthetics are brilliant.",0,0
this laptops keyboard is actually useable for gaming,0,0
this laptop was the inability to reconfigure and edit the start menu tiles.,0,0
"screen bezel very slim, had predator 17"" 980m and alienware 17 r5 1070",0,0
i am finding a computer to do a couple of gaming so it should run games smoothly with amazing graphics.,1,0
i want to find the best computer with my limited budget.,1,0
some preinstalled software is all right,0,0
"with a dedicated video card, 512gb ssd, and 16 gigs of ram this machine is loaded for the price you pay.",0,0
"if it is foldable and can be put in my pocket, that would be even better but the functions and performance cannot be sacrificed.",1,1
"no lagging, great network speed, responsive, just exactly what i need for both work and pleasure.",0,0
boots up / shuts down quickly.,0,0
the build and design quality are exceptional,0,0
this laptop is half the weight for about three times the power,0,0
specs are amazing and everything else about this laptop is worth every penny,0,0
"the screen quality - 144hz 1080p ips is very bright, crisp and clear.",0,0
its well worth it for the excellent cooling and design.,0,0
touchpad quit working within few days of getting the computer.,0,0
i am finding a new computer with a great price.,1,0
i won't expect too much for my new computer but a high performance-cost ratio is a must.,1,0
"every time i pick it up i'm in fear it'll fold in half under it's own weight, like a soggy pancake.",0,0
the pc was quite slow even for everyday internet browsing,0,0
"it is slim and not bulky, making it very portable.",0,0
rgb chroma is awesome! i keep it on start light most of the time.,0,0
i want a computer with nice performance-cost ratio.,1,0
no numpad/full size keyboard,0,0
it does get very hot while gaming.,0,0
it would be better if it could have cool lighting effect like a desktop.,1,1
a thin and nice looking laptop with decent enough hardware to play most games with decent quality.,0,0
i love that the keyboard is backlit,0,0
the sound quality is high.,0,0
i attempted windows setup and one of my keys half fell-off.,0,0
"the nvme ssd is super fast as intended, and graphics look amazing",0,0
it does not come with the limited white box,0,0
"i think this thing is gorgeous, feels premium, and appears to have solid specs.",0,0
i need a computer that is light and lasts long for me to work at the coffee shop.,1,0
this is great for work and relaxing with my latest game.,0,0
a fast computer with a good price is what i want.,1,0
bought this laptop for gaming and video editing and it runs both like a champ,0,0
i like how light and well built the laptop is,0,0
"received the order in a timely manner, the packaging for the product looked elegant and well-thought out",0,0
the speakers are week and sound quality is just crap.,0,0
"it's a solid feeling machine, and a suave looking one.",0,0
"it is also light weight compare to my msi 17"". i am definitely brag and encourage gamers and videographers to invest in this machine",0,0
"the build of the msi screen was disappointingly flimsy and i feel that i could one day break this thing if i opened the screen the wrong way, especially with one hand.",0,0
i contacted razer for the extended warranty and they refuse to give it to me unless i live in the usa,0,0
runs great on its own or on 65” 4k tv,0,0
they should remove the numberpad functionality description on this item,0,0
it only comes with 16gb single channel ram and cause of that fps in manu games are lower than expected around (10-20 fps) low,0,0
the 1080 max-q its really powerful and the configuration of the 32gb of ram is really great for gaming.,0,0
s pen is awesome compared with my surface pen pro 6,0,0
while setting up i got to the fingerprint part of setup and it locked up,0,0
"it has been the easiest computer to set up in terms of loading software, etc.",0,0
"it’s also sizeable but not heavy, thus making it very portable.",0,0
its thin and its lightweigh,0,0
i need big keys for my big fingers.,1,0
the connectivity is excellent.,0,0
the ssd died within 5 months,0,0
"after a session of intense gaming, the alienware logo button (on/off) can become exceedingly hot.",0,0
