text,label,novel
"super fast, good graphics, good battery life, really like the keyboard and fingerprint sensor.",0,0
"the screen is amazing, the keyboard comfortable",0,0
it's extremely lightweight for how powerful it is.,0,0
most tactile keyboard ever on a laptop.,0,0
the screen is responsive and fairly quick at registering my touches,0,0
the battery life is decent and the unit charges quickly with the monster 180w power brick it shipped with.,0,0
the price is definitely the selling point of this laptop along with the lightweight portability.,0,0
this computer loads super fast and runs really quick,0,0
my only grip in the power cord easily slips out the charging port because of the weight and gauge of the cord,0,0
"the machine was great; it was quiet, it performed well, and it was light weight.",0,0
the screen is really bright and you can see more definition than either ace,0,0
"can easily adjust most of your settings from dragon center; fans, color/display, keyboard.",0,0
the intel core and the windows 10 are very fast,0,0
it is fast,0,0
"much quieter than i expected, even when the fans are at full speed, the noise is minimal, when using headphones the fans cannot be heard at all.",0,0
display has a full fledged option suite to adjust,0,0
latop is pretty light,0,0
"games run smooth, it boots up fast and the colors on the screen are crisp.",0,0
the keyboard is well lit and has larger keys.,0,0
its super thin and easy to take along on trips to keep your high end gaming close by,0,0
"it's thin, light, and powerful.",0,0
video from the built-in screen is crisp and sharp.,0,0
the fit and finish of the laptop seems pretty nice.,0,0
keyboard feels great and the extra width on the spacebar is a nice touch.,0,0
setting it up is a breeze thanks to windows 10 and cortana,0,0
"sturdy, with a nice keyboard and screen for my tastes",0,0
the keyboard feels responsive and has fully customizable keybinds and led backlighting that you can control with the steelseries software.,0,0
computer response is fast and snappy,0,0
color quality is great and can change the tones of the screen with the msi center.,0,0
"the notebook design is very stylish and although this monster have a geforce rtx 2080 (max q), it is very light and mobile.",0,0
light and portable with an amazingly sharp display that makes my tv look bad.,0,0
"this laptop has amazingly good build quality, and is very snappy to use.",0,0
the ssd portion of the computer allows instantaneous start and shut down to make a full restart occur in just seconds.,0,0
screen is great as well as the keyboard and under full load it is actually quieter than my old laptop which was 3 times thicker and way bigger .,0,0
its also super light weight if you are on the go a lot.,0,0
"i love the performance, keyboard, and track pad",0,0
"this has been an amazing laptop in a small footprint for a 17"" monitor/laptop.",0,0
"this was the first steps into great graphics, speedy response times, and ultimate gaming heaven for me when dealing with laptops",0,0
"thin, good battery life, games well and looks stunning",0,0
"gaming performance is excellent, battery life stays long enough to last me for what i need and even if it doesn't it has the option to charge with a portable power bank.",0,0
"it works good for surfing the web, keyboard and touchpad are spot on,thin and lightweight.",0,0
battery life is decent for the specs.,0,0
the aesthetics are the best you're going to find on any high-end laptop.,0,0
graphics stay sharp and play is not delayed,0,0
"despite being so slim, it seems well made, and hasn't had any durability issues so far.",0,0
it's a really powerful gaming laptop with nice gaming lcd screen with very high refresh rate,0,0
all sides are metal (even the vent grills) and when you first lift it you instantly know it's built like a tank.,0,0
amds apu combined with the 2-1 format provides a great mixture of speed and versatility.,0,0
the screen looks great,0,0
"i'm able to run at the highest graphic settings, with ray tracing set to it's highest and also get very playable frame rates.",0,0
the graphics are good,0,0
the keyboard and trackpad seems good and responsive,0,0
ottom is easily removable and all major components can be easily reached.,0,0
the key travel is very nice and the colors are a pretty touch,0,0
i like how the design doesn't scream gaming laptop,0,0
the screen color is amazing and perfect brightness,0,0
